frame,Si1_idx,O_idx,Si2_idx,angle_deg
130,21,67,33,147.53903952994574
130,23,69,31,130.85702391723362
130,25,71,30,137.25537365307218
140,0,96,35,139.92949616862253
140,1,49,12,140.2272172918886
140,1,73,30,127.49083062147481
140,1,97,32,145.21541626425127
140,1,121,31,148.9706182028397
140,2,74,31,142.78149585937882
140,2,98,33,165.69752960876718
140,2,122,30,155.57034779371654
140,3,99,34,149.5114140293537
140,4,76,27,160.15111317844898
140,4,124,28,133.37847774959317
140,5,77,29,162.64019690803113
140,5,125,26,131.9371121279156
140,6,78,26,167.25950164143168
140,6,102,30,158.9185708108241
140,6,126,29,144.8250759232829
140,7,79,28,139.54489750277716
140,7,103,31,153.90172518145363
140,7,127,27,145.07547115690025
140,8,80,35,152.00851350202223
140,8,104,27,149.12881911722448
140,8,128,32,137.7481520019631
140,9,57,13,137.37210830116317
140,9,81,33,134.664159491242
140,9,105,28,143.96907421021538
140,9,129,34,144.50772943530768
140,10,82,34,144.02889367637326
140,10,106,29,141.6856843598574
140,10,130,33,139.58252381705833
140,11,83,32,142.66665144587537
140,11,107,26,136.5468936881335
140,11,131,35,136.5576327928302
140,12,84,20,170.18548802423877
140,12,108,25,136.0894669190805
140,13,91,16,137.40683917399735
140,13,115,21,141.11555478062283
140,14,60,27,139.60083172029866
140,15,61,26,132.3850913608413
140,16,62,28,137.6767985335529
140,17,63,29,130.42294111591093
140,18,64,35,143.53547027413998
140,19,65,34,122.87729467904403
140,20,66,32,132.3435478145773
140,21,67,33,144.057968720053
140,23,69,31,134.03651279715754
140,25,71,30,129.71571764797318
150,0,96,35,138.5106067005009
150,1,49,12,130.82649526569224
150,1,73,30,136.0942037227184
150,1,97,32,154.8101859807616
150,1,121,31,139.1252655499124
150,2,74,31,156.17815354102802
150,2,98,33,153.75701625561652
150,2,122,30,148.09919923066107
150,3,99,34,154.7070765440703
150,4,76,27,167.61235350456687
150,4,124,28,128.34601685054477
150,5,77,29,155.35133981249703
150,5,125,26,136.02861206808788
150,6,78,26,154.43584953121214
150,6,102,30,140.62663550744017
150,6,126,29,144.2812159684642
150,7,79,28,134.81507998562236
150,7,103,31,159.5506090878591
150,7,127,27,136.05464176429172
150,8,80,35,137.63580411281197
150,8,104,27,157.8970307718254
150,8,128,32,138.52907214955894
150,9,57,13,125.39265634519695
150,9,81,33,154.19612811534776
150,9,105,28,165.33711204177894
150,9,129,34,144.54909448064174
150,10,82,34,151.95082240763006
150,10,106,29,153.29564092316042
150,10,130,33,143.6228354419432
150,11,83,32,137.0424472832207
150,11,107,26,141.17432095765835
150,11,131,35,135.44953404018182
150,12,84,20,176.54107763841557
150,12,108,25,133.74838293251216
150,13,91,16,131.60110995779354
150,13,115,21,156.5735608394064
150,14,60,27,132.1490451150357
150,15,61,26,140.5984447549982
150,16,62,28,135.84637809209067
150,17,63,29,126.97738752663302
150,18,64,35,159.84387795685683
150,19,65,34,126.79336831823379
150,20,66,32,138.39928229961225
150,21,67,33,137.8550279806107
150,23,69,31,132.54985444605248
150,25,71,30,143.15304942207348
160,0,96,35,126.63383315890171
160,1,49,12,142.0197530416342
160,1,73,30,132.26774184862072
160,1,97,32,142.1873110547923
160,1,121,31,140.10425299600976
160,2,74,31,149.9496317215551
160,2,98,33,155.64248513146944
160,2,122,30,147.6237554493384
160,3,99,34,148.44822293199374
160,4,76,27,163.85287496616922
160,4,124,28,126.65187948654525
160,5,77,29,140.33483487049065
160,5,125,26,142.74763271998623
160,6,78,26,144.51676302996145
160,6,102,30,155.24857443491905
160,6,126,29,146.10808938334247
160,7,79,28,145.2157459149164
160,7,103,31,148.84706303803318
160,7,127,27,136.1560312758197
160,8,80,35,140.51348434885657
160,8,104,27,147.3556679113682
160,8,128,32,152.90846620657456
160,9,57,13,148.09582093574917
160,9,81,33,140.44389879294715
160,9,105,28,135.29995871878614
160,9,129,34,146.6071638121619
160,10,82,34,146.56016887676503
160,10,106,29,138.11465430756837
160,10,130,33,154.64249016528302
160,11,83,32,135.67725326527486
160,11,107,26,142.44269489330293
160,11,131,35,142.89618349851986
160,12,84,20,171.69527001444663
160,12,108,25,138.95686378466553
160,13,91,16,131.7231799828589
160,13,115,21,139.62586024050762
160,14,60,27,126.24779999237337
160,15,61,26,121.90099336520501
160,16,62,28,154.16114710137597
160,17,63,29,141.06477508069605
160,18,64,35,156.42783718808573
160,19,65,34,120.97123332209772
160,20,66,32,132.4299268006692
160,21,67,33,148.79809680782574
160,23,69,31,136.5671738570837
160,25,71,30,130.44013988929632
170,0,96,35,136.8210204301634
170,1,49,12,135.77331894765902
170,1,73,30,128.79538004747235
170,1,97,32,146.7401292934493
170,1,121,31,142.5589911481847
170,2,74,31,138.13596408765673
170,2,98,33,153.91784320440468
170,2,122,30,150.35458397063596
170,3,99,34,156.51370220693664
170,4,76,27,168.58674481130765
170,4,124,28,142.14022904922538
170,5,77,29,166.45183447858128
170,5,125,26,133.4902665515929
170,6,78,26,168.34781562709406
170,6,102,30,158.98907341413803
170,6,126,29,145.13616893557847
170,7,79,28,160.79386728132894
170,7,103,31,149.6319988574795
170,7,127,27,140.83607054259085
170,8,80,35,140.7702755185641
170,8,104,27,147.3152790643707
170,8,128,32,144.5224017817964
170,9,57,13,138.137808832164
170,9,81,33,146.4682954304175
170,9,105,28,147.7058507136166
170,9,129,34,146.8582829474514
170,10,82,34,150.799727336252
170,10,106,29,140.05432502010714
170,10,130,33,140.4497701268614
170,11,83,32,144.20890803704077
170,11,107,26,130.00527288819762
170,11,131,35,136.90224478765117
170,12,84,20,171.7845108080333
170,12,108,25,144.27470858361457
170,13,91,16,129.55688848027685
170,13,115,21,151.15709836771077
170,14,60,27,127.86160480933007
170,15,61,26,128.29238713440265
170,16,62,28,135.1814830746356
170,17,63,29,131.64848025296686
170,18,64,35,156.18977414315304
170,19,65,34,129.91230261080864
170,20,66,32,125.33245989404438
170,21,67,33,132.74725406621027
170,23,69,31,135.87045270412275
170,25,71,30,138.40003448274592
180,0,96,35,125.32680285066769
180,1,49,12,141.1331766418193
180,1,73,30,143.21895593922775
180,1,97,32,144.09257046206025
180,1,121,31,140.8791295242199
180,2,74,31,151.82875660120277
180,2,98,33,150.0641665990444
180,2,122,30,151.27324868568292
180,3,99,34,164.6351320161789
180,4,76,27,171.74970663911517
180,4,124,28,128.56540962716116
180,5,77,29,147.4173970308602
180,5,125,26,142.7133233346217
180,6,78,26,137.9473373725723
180,6,102,30,148.2290888451544
180,6,126,29,161.59137167651363
180,7,79,28,139.79064751608297
180,7,103,31,153.3856705726193
180,7,127,27,129.86946275207754
180,8,80,35,158.42396075193824
180,8,104,27,135.2738625758451
180,8,128,32,140.29950740250524
180,9,57,13,139.2195814029865
180,9,81,33,138.23801899155646
180,9,105,28,152.13390074780654
180,9,129,34,155.92422459479477
180,10,82,34,153.39002547568313
180,10,106,29,151.95731386795302
180,10,130,33,145.87856066454992
180,11,83,32,142.92264100826603
180,11,107,26,144.8377811119979
180,11,131,35,136.54101510148215
180,12,84,20,167.87934576398683
180,12,108,25,134.57257292781088
180,13,91,16,131.0648902149683
180,13,115,21,141.50535945963483
180,14,60,27,124.26153690862867
180,15,61,26,131.86509282045625
180,16,62,28,141.70097712376588
